ticket_id,client_name,project_name,channel,text,ticket_type,churn_risk,project_age_days,open_incidents_30d,sentiment_label,is_phishing,has_pii
17,Client 11,Project 2,email,Since the last deployment the invoicing module throws error 500 when generating invoices. The client is very frustrated and angry about this issue. Please click here to reset your password immediately. You can contact me at john.doe@example.com.,Correctivo,100,442,10,-0.632,1,1
18,Client 1,Project 1,email,The integration with the banking service stopped working and payments are not being processed. The client is very frustrated and angry about this issue. Please reply to maria.client@company.com with the solution.,Correctivo,71,272,5,-0.468,0,1
19,Client 5,Project 7,whatsapp,The client is asking for an export to Excel for the contracts report. The client would like this to be prioritized next sprint.,Evolutivo,84,599,15,0.078,0,0
20,Client 12,Project 6,email,"The system is extremely slow when we try to approve purchase orders. They understand it may take some time, but want visibility on the roadmap. You can contact me at john.doe@example.com.",Correctivo,90,81,15,-0.006,0,1
21,Client 2,Project 4,whatsapp,We want to schedule automatic email summaries of open incidents every Monday. The client would like this to be prioritized next sprint.,Evolutivo,38,638,1,0.152,0,0
22,Client 11,Project 6,email,"The user cannot log in to the platform, it says invalid credentials even after password reset. They mentioned this is important but not blocking production.",Correctivo,64,301,12,0.174,0,0
23,Client 10,Project 2,email,We want to schedule automatic email summaries of open incidents every Monday. They mentioned this is important but not blocking production. Please reply to maria.client@company.com with the solution.,Evolutivo,47,580,6,-0.021,0,1
24,Client 14,Project 5,whatsapp,"We want to schedule automatic email summaries of open incidents every Monday. They mentioned this is important but not blocking production. Please click here to reset your password immediately. My phone number is 3112345678, call me as soon as possible.",Evolutivo,42,699,0,0.459,1,1
25,Client 10,Project 4,whatsapp,"We would like to add a filter by project manager in the main view. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,37,381,6,0.193,0,0
26,Client 14,Project 5,email,"The client is asking for an export to Excel for the contracts report. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,70,33,10,0.488,0,0
27,Client 9,Project 1,email,We want to schedule automatic email summaries of open incidents every Monday. The client would like this to be prioritized next sprint. Please reply to maria.client@company.com with the solution.,Evolutivo,36,107,4,0.401,0,1
28,Client 15,Project 6,email,Since the last deployment the invoicing module throws error 500 when generating invoices. They have already complained several times and nothing has been solved.,Correctivo,78,728,7,-0.458,0,0
29,Client 14,Project 3,email,"The user cannot log in to the platform, it says invalid credentials even after password reset. They mentioned this is important but not blocking production.",Correctivo,60,452,0,0.369,0,0
30,Client 3,Project 2,portal,The client is asking for an export to Excel for the contracts report. The client would like this to be prioritized next sprint.,Evolutivo,85,69,15,0.39,0,0
31,Client 4,Project 1,whatsapp,The report page crashes when we filter by date range. The client is very frustrated and angry about this issue.,Correctivo,94,227,12,-0.417,0,0
32,Client 1,Project 2,portal,We need a new dashboard to monitor monthly KPIs for our projects. The client would like this to be prioritized next sprint.,Evolutivo,53,212,8,0.258,0,0
33,Client 7,Project 4,portal,Since the last deployment the invoicing module throws error 500 when generating invoices. They have already complained several times and nothing has been solved.,Correctivo,93,75,13,-0.557,0,0
34,Client 7,Project 2,whatsapp,"We need a new dashboard to monitor monthly KPIs for our projects. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,55,368,10,0.44,0,0
35,Client 12,Project 5,whatsapp,"We need a new API endpoint to read contract status from an external system. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,56,160,6,0.464,0,0
36,Client 7,Project 1,portal,"We need a new API endpoint to read contract status from an external system. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,65,323,6,0.264,0,0
37,Client 9,Project 8,whatsapp,The report page crashes when we filter by date range. They have already complained several times and nothing has been solved. Please click here to reset your password immediately.,Correctivo,83,203,2,-0.59,1,0
38,Client 3,Project 1,email,The system is extremely slow when we try to approve purchase orders. The client would like this to be prioritized next sprint.,Correctivo,94,280,15,0.173,0,0
39,Client 7,Project 4,email,We need a new dashboard to monitor monthly KPIs for our projects. They mentioned this is important but not blocking production.,Evolutivo,49,701,0,0.031,0,0
40,Client 9,Project 4,email,"The integration with the banking service stopped working and payments are not being processed. They understand it may take some time, but want visibility on the roadmap.",Correctivo,97,497,4,0.257,0,0
41,Client 14,Project 8,email,We would like to add a filter by project manager in the main view. The client would like this to be prioritized next sprint.,Evolutivo,74,516,14,0.404,0,0
42,Client 5,Project 8,email,The report page crashes when we filter by date range. They have already complained several times and nothing has been solved.,Correctivo,78,322,7,-0.86,0,0
43,Client 2,Project 7,portal,The integration with the banking service stopped working and payments are not being processed. They say this situation is unacceptable and they are considering leaving the service.,Correctivo,94,368,14,-0.705,0,0
44,Client 8,Project 1,portal,"We need a new API endpoint to read contract status from an external system. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,43,335,12,0.349,0,0
45,Client 4,Project 5,portal,We need a new API endpoint to read contract status from an external system. They mentioned this is important but not blocking production.,Evolutivo,44,527,0,0.301,0,0
46,Client 10,Project 1,portal,Since the last deployment the invoicing module throws error 500 when generating invoices. The client would like this to be prioritized next sprint. Please reply to maria.client@company.com with the solution.,Correctivo,65,636,0,0.42,0,1
47,Client 13,Project 7,portal,We need a new dashboard to monitor monthly KPIs for our projects. They mentioned this is important but not blocking production.,Evolutivo,63,461,8,-0.088,0,0
48,Client 11,Project 2,whatsapp,"The user cannot log in to the platform, it says invalid credentials even after password reset. The client is very frustrated and angry about this issue.",Correctivo,62,71,0,-0.589,0,0
49,Client 8,Project 5,portal,"The user cannot log in to the platform, it says invalid credentials even after password reset. The client would like this to be prioritized next sprint.",Correctivo,70,201,3,0.247,0,0
50,Client 12,Project 4,email,"We need a new dashboard to monitor monthly KPIs for our projects. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,36,636,7,0.363,0,0
51,Client 6,Project 7,whatsapp,The system is extremely slow when we try to approve purchase orders. The client would like this to be prioritized next sprint. You can reach me at 3209876543 during office hours.,Correctivo,58,409,2,0.41,0,1
52,Client 3,Project 5,whatsapp,We need a new API endpoint to read contract status from an external system. They mentioned this is important but not blocking production.,Evolutivo,60,581,15,0.395,0,0
53,Client 5,Project 8,email,The report page crashes when we filter by date range. They say this situation is unacceptable and they are considering leaving the service.,Correctivo,100,505,12,-0.809,0,0
54,Client 15,Project 5,whatsapp,We need a new dashboard to monitor monthly KPIs for our projects. The client would like this to be prioritized next sprint.,Evolutivo,61,40,6,0.332,0,0
55,Client 11,Project 8,portal,We would like to add a filter by project manager in the main view. The client would like this to be prioritized next sprint.,Evolutivo,37,47,2,0.143,0,0
56,Client 9,Project 6,portal,"We would like to add a filter by project manager in the main view. They understand it may take some time, but want visibility on the roadmap. You can reach me at 3209876543 during office hours.",Evolutivo,47,593,10,0.172,0,1
57,Client 4,Project 4,whatsapp,"The system is extremely slow when we try to approve purchase orders. They understand it may take some time, but want visibility on the roadmap.",Correctivo,84,525,8,0.258,0,0
58,Client 6,Project 3,portal,The report page crashes when we filter by date range. The client is very frustrated and angry about this issue. You can reach me at 3209876543 during office hours.,Correctivo,69,44,4,-0.623,0,1
59,Client 10,Project 5,portal,The report page crashes when we filter by date range. The client is very frustrated and angry about this issue. Please reply to maria.client@company.com with the solution.,Correctivo,97,520,14,-0.774,0,1
60,Client 3,Project 3,whatsapp,"The user cannot log in to the platform, it says invalid credentials even after password reset. They say this situation is unacceptable and they are considering leaving the service. You can reach me at 3209876543 during office hours.",Correctivo,87,341,2,-0.597,0,1
61,Client 14,Project 7,portal,"We want to schedule automatic email summaries of open incidents every Monday. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,43,612,1,-0.04,0,0
62,Client 3,Project 4,email,"The user cannot log in to the platform, it says invalid credentials even after password reset. They say this situation is unacceptable and they are considering leaving the service. Please reply to maria.client@company.com with the solution.",Correctivo,98,595,2,-0.555,0,1
63,Client 11,Project 4,portal,The integration with the banking service stopped working and payments are not being processed. The client is very frustrated and angry about this issue.,Correctivo,81,670,6,-0.576,0,0
64,Client 3,Project 5,whatsapp,The integration with the banking service stopped working and payments are not being processed. They have already complained several times and nothing has been solved. You can reach me at 3209876543 during office hours.,Correctivo,88,612,9,-0.748,0,1
65,Client 15,Project 7,whatsapp,Since the last deployment the invoicing module throws error 500 when generating invoices. They have already complained several times and nothing has been solved.,Correctivo,78,360,8,-0.482,0,0
66,Client 13,Project 3,portal,The report page crashes when we filter by date range. They have already complained several times and nothing has been solved.,Correctivo,100,561,14,-0.682,0,0
67,Client 7,Project 6,portal,The client is asking for an export to Excel for the contracts report. They mentioned this is important but not blocking production.,Evolutivo,51,716,3,0.147,0,0
68,Client 8,Project 2,portal,Since the last deployment the invoicing module throws error 500 when generating invoices. They mentioned this is important but not blocking production. You can reach me at 3209876543 during office hours.,Correctivo,81,288,10,0.419,0,1
69,Client 4,Project 6,whatsapp,Since the last deployment the invoicing module throws error 500 when generating invoices. They have already complained several times and nothing has been solved.,Correctivo,100,540,14,-0.834,0,0
70,Client 1,Project 4,whatsapp,The system is extremely slow when we try to approve purchase orders. They say this situation is unacceptable and they are considering leaving the service.,Correctivo,100,192,9,-0.853,0,0
71,Client 11,Project 3,portal,The integration with the banking service stopped working and payments are not being processed. They mentioned this is important but not blocking production.,Correctivo,94,328,8,0.046,0,0
72,Client 14,Project 2,portal,The system is extremely slow when we try to approve purchase orders. The client is very frustrated and angry about this issue.,Correctivo,100,454,10,-0.759,0,0
73,Client 8,Project 8,portal,The integration with the banking service stopped working and payments are not being processed. The client would like this to be prioritized next sprint.,Correctivo,95,370,12,0.488,0,0
74,Client 6,Project 8,whatsapp,"The user cannot log in to the platform, it says invalid credentials even after password reset. The client is very frustrated and angry about this issue.",Correctivo,95,420,12,-0.837,0,0
75,Client 2,Project 8,email,The client is asking for an export to Excel for the contracts report. The client would like this to be prioritized next sprint.,Evolutivo,80,177,13,0.182,0,0
76,Client 11,Project 2,portal,"We would like to add a filter by project manager in the main view. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,41,720,12,0.331,0,0
77,Client 4,Project 5,email,"Since the last deployment the invoicing module throws error 500 when generating invoices. They understand it may take some time, but want visibility on the roadmap.",Correctivo,62,122,13,0.424,0,0
78,Client 6,Project 1,portal,The integration with the banking service stopped working and payments are not being processed. They have already complained several times and nothing has been solved. Please reply to maria.client@company.com with the solution.,Correctivo,100,397,11,-0.694,0,1
79,Client 8,Project 3,email,"The integration with the banking service stopped working and payments are not being processed. The client is very frustrated and angry about this issue. My phone number is 3112345678, call me as soon as possible.",Correctivo,99,502,8,-0.451,0,1
80,Client 10,Project 5,whatsapp,We need a new API endpoint to read contract status from an external system. They mentioned this is important but not blocking production.,Evolutivo,51,464,8,0.02,0,0
81,Client 10,Project 6,whatsapp,"We need a new dashboard to monitor monthly KPIs for our projects. They understand it may take some time, but want visibility on the roadmap. Please click here to reset your password immediately.",Evolutivo,85,332,9,0.137,1,0
82,Client 14,Project 5,email,"The client is asking for an export to Excel for the contracts report. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,91,651,11,0.014,0,0
83,Client 11,Project 2,whatsapp,The report page crashes when we filter by date range. The client would like this to be prioritized next sprint. Please reply to maria.client@company.com with the solution.,Correctivo,63,691,1,0.248,0,1
84,Client 3,Project 6,whatsapp,"The user cannot log in to the platform, it says invalid credentials even after password reset. They say this situation is unacceptable and they are considering leaving the service.",Correctivo,78,543,8,-0.416,0,0
85,Client 2,Project 3,email,We want to schedule automatic email summaries of open incidents every Monday. They mentioned this is important but not blocking production. Please reply to maria.client@company.com with the solution.,Evolutivo,92,722,12,-0.046,0,1
86,Client 10,Project 7,whatsapp,The client is asking for an export to Excel for the contracts report. They mentioned this is important but not blocking production.,Evolutivo,70,410,3,-0.085,0,0
87,Client 11,Project 2,whatsapp,The integration with the banking service stopped working and payments are not being processed. The client is very frustrated and angry about this issue.,Correctivo,79,505,9,-0.427,0,0
88,Client 15,Project 3,portal,The system is extremely slow when we try to approve purchase orders. They have already complained several times and nothing has been solved.,Correctivo,100,494,11,-0.537,0,0
89,Client 5,Project 1,whatsapp,We need a new API endpoint to read contract status from an external system. They mentioned this is important but not blocking production. You can reach me at 3209876543 during office hours.,Evolutivo,30,409,6,0.47,0,1
90,Client 5,Project 4,email,"The client is asking for an export to Excel for the contracts report. They understand it may take some time, but want visibility on the roadmap. You can contact me at john.doe@example.com.",Evolutivo,74,495,2,0.284,0,1
91,Client 2,Project 4,whatsapp,"The report page crashes when we filter by date range. They understand it may take some time, but want visibility on the roadmap. Please reply to maria.client@company.com with the solution.",Correctivo,70,251,7,-0.098,0,1
92,Client 11,Project 1,email,"The user cannot log in to the platform, it says invalid credentials even after password reset. The client is very frustrated and angry about this issue. Use this link to verify your account before it is deactivated.",Correctivo,91,45,11,-0.813,1,0
93,Client 8,Project 6,whatsapp,"We need a new API endpoint to read contract status from an external system. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,68,637,3,0.033,0,0
94,Client 8,Project 1,email,"We need a new API endpoint to read contract status from an external system. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,54,520,12,-0.035,0,0
95,Client 10,Project 3,email,"We want to schedule automatic email summaries of open incidents every Monday. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,64,159,8,0.251,0,0
96,Client 8,Project 7,email,We need a new API endpoint to read contract status from an external system. They mentioned this is important but not blocking production.,Evolutivo,42,147,6,0.433,0,0
97,Client 12,Project 2,portal,We would like to add a filter by project manager in the main view. They mentioned this is important but not blocking production.,Evolutivo,40,467,10,0.472,0,0
98,Client 2,Project 7,email,The system is extremely slow when we try to approve purchase orders. They have already complained several times and nothing has been solved.,Correctivo,100,411,4,-0.619,0,0
99,Client 5,Project 5,portal,"The user cannot log in to the platform, it says invalid credentials even after password reset. The client would like this to be prioritized next sprint.",Correctivo,54,136,6,0.408,0,0
100,Client 10,Project 4,portal,"We want to schedule automatic email summaries of open incidents every Monday. They understand it may take some time, but want visibility on the roadmap. You can reach me at 3209876543 during office hours.",Evolutivo,36,604,0,0.398,0,1
101,Client 1,Project 3,email,We need a new dashboard to monitor monthly KPIs for our projects. The client would like this to be prioritized next sprint. You can reach me at 3209876543 during office hours.,Evolutivo,65,609,12,0.345,0,1
102,Client 6,Project 3,portal,"We want to schedule automatic email summaries of open incidents every Monday. They understand it may take some time, but want visibility on the roadmap. Please click here to reset your password immediately.",Evolutivo,48,349,10,-0.049,1,0
103,Client 5,Project 8,whatsapp,The system is extremely slow when we try to approve purchase orders. They say this situation is unacceptable and they are considering leaving the service.,Correctivo,100,464,15,-0.792,0,0
104,Client 11,Project 8,whatsapp,We need a new dashboard to monitor monthly KPIs for our projects. The client would like this to be prioritized next sprint. You can contact me at john.doe@example.com.,Evolutivo,87,713,9,0.137,0,1
105,Client 13,Project 5,portal,Since the last deployment the invoicing module throws error 500 when generating invoices. They say this situation is unacceptable and they are considering leaving the service.,Correctivo,93,365,3,-0.812,0,0
106,Client 2,Project 7,whatsapp,We need a new dashboard to monitor monthly KPIs for our projects. They mentioned this is important but not blocking production.,Evolutivo,67,73,13,0.453,0,0
107,Client 12,Project 7,portal,We need a new dashboard to monitor monthly KPIs for our projects. They mentioned this is important but not blocking production.,Evolutivo,78,147,12,0.003,0,0
108,Client 2,Project 7,email,We want to schedule automatic email summaries of open incidents every Monday. They mentioned this is important but not blocking production.,Evolutivo,57,279,13,0.214,0,0
109,Client 6,Project 3,email,The system is extremely slow when we try to approve purchase orders. They say this situation is unacceptable and they are considering leaving the service.,Correctivo,80,552,3,-0.724,0,0
110,Client 2,Project 3,portal,The system is extremely slow when we try to approve purchase orders. They have already complained several times and nothing has been solved.,Correctivo,94,232,5,-0.862,0,0
111,Client 11,Project 6,whatsapp,We need a new API endpoint to read contract status from an external system. The client would like this to be prioritized next sprint.,Evolutivo,55,353,4,0.181,0,0
112,Client 6,Project 2,portal,Since the last deployment the invoicing module throws error 500 when generating invoices. They say this situation is unacceptable and they are considering leaving the service.,Correctivo,100,502,14,-0.862,0,0
113,Client 8,Project 1,portal,"We would like to add a filter by project manager in the main view. They understand it may take some time, but want visibility on the roadmap. Please reply to maria.client@company.com with the solution.",Evolutivo,77,615,6,0.185,0,1
114,Client 9,Project 3,email,The integration with the banking service stopped working and payments are not being processed. They have already complained several times and nothing has been solved. Please reply to maria.client@company.com with the solution.,Correctivo,100,283,14,-0.821,0,1
115,Client 13,Project 6,email,The system is extremely slow when we try to approve purchase orders. They mentioned this is important but not blocking production.,Correctivo,94,367,3,0.051,0,0
116,Client 6,Project 2,whatsapp,The report page crashes when we filter by date range. They have already complained several times and nothing has been solved.,Correctivo,78,709,4,-0.551,0,0
117,Client 9,Project 7,whatsapp,We want to schedule automatic email summaries of open incidents every Monday. The client would like this to be prioritized next sprint.,Evolutivo,51,366,4,0.288,0,0
118,Client 3,Project 4,portal,The client is asking for an export to Excel for the contracts report. The client would like this to be prioritized next sprint.,Evolutivo,69,527,6,-0.007,0,0
119,Client 11,Project 6,whatsapp,"The user cannot log in to the platform, it says invalid credentials even after password reset. They have already complained several times and nothing has been solved. Please reply to maria.client@company.com with the solution.",Correctivo,100,164,12,-0.514,0,1
120,Client 8,Project 5,whatsapp,The system is extremely slow when we try to approve purchase orders. They say this situation is unacceptable and they are considering leaving the service.,Correctivo,100,489,7,-0.448,0,0
121,Client 8,Project 5,portal,The client is asking for an export to Excel for the contracts report. The client would like this to be prioritized next sprint. Use this link to verify your account before it is deactivated. Please reply to maria.client@company.com with the solution.,Evolutivo,86,544,13,0.381,1,1
122,Client 12,Project 2,portal,The report page crashes when we filter by date range. They have already complained several times and nothing has been solved.,Correctivo,79,115,5,-0.826,0,0
123,Client 15,Project 6,email,"We need a new API endpoint to read contract status from an external system. They understand it may take some time, but want visibility on the roadmap. Please reply to maria.client@company.com with the solution.",Evolutivo,28,454,1,0.124,0,1
124,Client 13,Project 3,email,"We need a new API endpoint to read contract status from an external system. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,62,69,9,0.399,0,0
125,Client 15,Project 2,email,"The user cannot log in to the platform, it says invalid credentials even after password reset. They have already complained several times and nothing has been solved.",Correctivo,82,292,6,-0.596,0,0
126,Client 2,Project 1,email,We need a new dashboard to monitor monthly KPIs for our projects. The client would like this to be prioritized next sprint.,Evolutivo,83,459,14,0.402,0,0
127,Client 12,Project 3,portal,"The system is extremely slow when we try to approve purchase orders. They have already complained several times and nothing has been solved. My phone number is 3112345678, call me as soon as possible.",Correctivo,98,469,0,-0.692,0,1
128,Client 7,Project 8,email,The report page crashes when we filter by date range. The client is very frustrated and angry about this issue. Please click here to reset your password immediately.,Correctivo,100,680,12,-0.721,1,0
129,Client 13,Project 6,email,The system is extremely slow when we try to approve purchase orders. They have already complained several times and nothing has been solved.,Correctivo,100,75,11,-0.812,0,0
130,Client 13,Project 3,email,The report page crashes when we filter by date range. The client is very frustrated and angry about this issue.,Correctivo,82,498,1,-0.457,0,0
131,Client 5,Project 1,whatsapp,We would like to add a filter by project manager in the main view. The client would like this to be prioritized next sprint. Please reply to maria.client@company.com with the solution.,Evolutivo,70,225,9,0.419,0,1
132,Client 15,Project 7,portal,We need a new API endpoint to read contract status from an external system. They mentioned this is important but not blocking production.,Evolutivo,81,221,15,0.455,0,0
133,Client 2,Project 7,whatsapp,We would like to add a filter by project manager in the main view. The client would like this to be prioritized next sprint.,Evolutivo,71,214,9,-0.052,0,0
134,Client 3,Project 8,portal,"We would like to add a filter by project manager in the main view. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,20,487,1,0.499,0,0
135,Client 11,Project 7,portal,Since the last deployment the invoicing module throws error 500 when generating invoices. They have already complained several times and nothing has been solved. Please reply to maria.client@company.com with the solution.,Correctivo,98,555,5,-0.561,0,1
136,Client 10,Project 1,whatsapp,We would like to add a filter by project manager in the main view. They mentioned this is important but not blocking production. Please click here to reset your password immediately.,Evolutivo,73,187,14,0.166,1,0
137,Client 11,Project 5,email,The client is asking for an export to Excel for the contracts report. They mentioned this is important but not blocking production. You can reach me at 3209876543 during office hours.,Evolutivo,23,146,0,0.211,0,1
138,Client 12,Project 8,email,We need a new dashboard to monitor monthly KPIs for our projects. They mentioned this is important but not blocking production.,Evolutivo,61,155,4,0.004,0,0
139,Client 11,Project 6,whatsapp,We would like to add a filter by project manager in the main view. The client would like this to be prioritized next sprint.,Evolutivo,73,96,9,0.327,0,0
140,Client 9,Project 4,email,The client is asking for an export to Excel for the contracts report. They mentioned this is important but not blocking production.,Evolutivo,58,235,4,-0.084,0,0
141,Client 10,Project 2,email,The integration with the banking service stopped working and payments are not being processed. They say this situation is unacceptable and they are considering leaving the service. Use this link to verify your account before it is deactivated.,Correctivo,100,346,12,-0.488,1,0
142,Client 11,Project 6,email,The client is asking for an export to Excel for the contracts report. They mentioned this is important but not blocking production.,Evolutivo,63,594,5,0.202,0,0
143,Client 5,Project 3,email,"The report page crashes when we filter by date range. They understand it may take some time, but want visibility on the roadmap. You can reach me at 3209876543 during office hours.",Correctivo,57,360,7,0.437,0,1
144,Client 10,Project 2,whatsapp,"We want to schedule automatic email summaries of open incidents every Monday. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,73,686,5,-0.007,0,0
145,Client 14,Project 1,email,We want to schedule automatic email summaries of open incidents every Monday. They mentioned this is important but not blocking production.,Evolutivo,52,113,1,0.291,0,0
146,Client 8,Project 5,whatsapp,"The user cannot log in to the platform, it says invalid credentials even after password reset. They understand it may take some time, but want visibility on the roadmap.",Correctivo,80,339,15,0.144,0,0
147,Client 7,Project 8,portal,We want to schedule automatic email summaries of open incidents every Monday. The client would like this to be prioritized next sprint.,Evolutivo,52,238,10,0.088,0,0
148,Client 3,Project 6,whatsapp,We would like to add a filter by project manager in the main view. The client would like this to be prioritized next sprint. Please reply to maria.client@company.com with the solution.,Evolutivo,50,605,3,0.18,0,1
149,Client 4,Project 3,portal,The client is asking for an export to Excel for the contracts report. The client would like this to be prioritized next sprint.,Evolutivo,59,621,10,0.199,0,0
150,Client 1,Project 2,portal,The client is asking for an export to Excel for the contracts report. The client would like this to be prioritized next sprint. Use this link to verify your account before it is deactivated.,Evolutivo,99,547,14,0.25,1,0
151,Client 5,Project 1,email,"We would like to add a filter by project manager in the main view. They understand it may take some time, but want visibility on the roadmap. You can contact me at john.doe@example.com.",Evolutivo,51,471,4,0.119,0,1
152,Client 2,Project 7,whatsapp,"We want to schedule automatic email summaries of open incidents every Monday. They understand it may take some time, but want visibility on the roadmap. Please click here to reset your password immediately.",Evolutivo,96,491,8,0.267,1,0
153,Client 9,Project 6,email,We want to schedule automatic email summaries of open incidents every Monday. The client would like this to be prioritized next sprint. Use this link to verify your account before it is deactivated.,Evolutivo,82,233,12,-0.073,1,0
154,Client 3,Project 3,portal,The client is asking for an export to Excel for the contracts report. They mentioned this is important but not blocking production. Please reply to maria.client@company.com with the solution.,Evolutivo,80,657,10,0.494,0,1
155,Client 8,Project 1,portal,"We need a new API endpoint to read contract status from an external system. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,66,369,3,0.085,0,0
156,Client 10,Project 8,portal,Since the last deployment the invoicing module throws error 500 when generating invoices. The client is very frustrated and angry about this issue.,Correctivo,100,701,7,-0.638,0,0
157,Client 14,Project 4,email,"The user cannot log in to the platform, it says invalid credentials even after password reset. They say this situation is unacceptable and they are considering leaving the service. You can reach me at 3209876543 during office hours.",Correctivo,74,616,3,-0.691,0,1
158,Client 9,Project 4,whatsapp,The system is extremely slow when we try to approve purchase orders. The client is very frustrated and angry about this issue.,Correctivo,100,362,15,-0.67,0,0
159,Client 4,Project 4,portal,The client is asking for an export to Excel for the contracts report. They mentioned this is important but not blocking production.,Evolutivo,64,601,9,0.363,0,0
160,Client 8,Project 6,whatsapp,"We need a new dashboard to monitor monthly KPIs for our projects. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,45,310,9,0.306,0,0
161,Client 5,Project 1,portal,"The integration with the banking service stopped working and payments are not being processed. They understand it may take some time, but want visibility on the roadmap.",Correctivo,97,110,11,0.187,0,0
162,Client 3,Project 2,whatsapp,The client is asking for an export to Excel for the contracts report. The client would like this to be prioritized next sprint.,Evolutivo,32,630,7,0.302,0,0
163,Client 7,Project 6,whatsapp,"The user cannot log in to the platform, it says invalid credentials even after password reset. They have already complained several times and nothing has been solved.",Correctivo,91,513,3,-0.411,0,0
164,Client 11,Project 4,portal,We need a new dashboard to monitor monthly KPIs for our projects. The client would like this to be prioritized next sprint.,Evolutivo,30,358,9,0.291,0,0
165,Client 7,Project 3,email,"The user cannot log in to the platform, it says invalid credentials even after password reset. They mentioned this is important but not blocking production. Please click here to reset your password immediately.",Correctivo,100,436,15,0.426,1,0
166,Client 8,Project 8,email,We would like to add a filter by project manager in the main view. The client would like this to be prioritized next sprint.,Evolutivo,84,546,14,0.385,0,0
167,Client 12,Project 3,email,"We want to schedule automatic email summaries of open incidents every Monday. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,58,375,9,0.354,0,0
168,Client 9,Project 6,email,The client is asking for an export to Excel for the contracts report. The client would like this to be prioritized next sprint. Please reply to maria.client@company.com with the solution.,Evolutivo,74,440,3,0.186,0,1
